Freq.	S11(V1)	S12(V1)	S21(V1)	S22(V1)
5.05556855977452e+08	2.18258072655296e-01,-5.78085645368272e-01	2.21421632378338e-02,3.98259528036145e-02	-1.18360607590742e+01,1.13963247431991e+01	5.95144110133685e-01,-4.70320526996704e-01
5.05673278148558e+08	2.18114654034409e-01,-5.78106665797896e-01	2.21486888601743e-02,3.98303802750235e-02	-1.18334849455745e+01,1.13969482192543e+01	5.95035244060311e-01,-4.70344587544082e-01
5.05789727129947e+08	2.17971219799989e-01,-5.78127653028615e-01	2.21552153214773e-02,3.98348071852522e-02	-1.18309088661387e+01,1.13975711339049e+01	5.94926367019925e-01,-4.70368622232212e-01
5.05906202927792e+08	2.17827769937318e-01,-5.78148605919230e-01	2.21617426833490e-02,3.98392334734226e-02	-1.18283324941263e+01,1.13981935030095e+01	5.94817477127015e-01,-4.70392634179999e-01
5.06022705548269e+08	2.17684304750655e-01,-5.78169524370467e-01	2.21682709300831e-02,3.98436591572953e-02	-1.18257558374408e+01,1.13988153227486e+01	5.94708574678138e-01,-4.70416623125200e-01
5.06139234997554e+08	2.17540822494742e-01,-5.78190409954391e-01	2.21748000979525e-02,3.98480841818480e-02	-1.18231788738427e+01,1.13994366006800e+01	5.94599659653065e-01,-4.70440587764110e-01
5.06255791281825e+08	2.17397323156159e-01,-5.78211261528235e-01	2.21813302485392e-02,3.98525084860801e-02	-1.18206015766942e+01,1.14000573526049e+01	5.94490730165729e-01,-4.70464531212668e-01
5.06372374407263e+08	2.17253809722458e-01,-5.78232079407909e-01	2.21878611596576e-02,3.98569323180866e-02	-1.18180240531288e+01,1.14006775241200e+01	5.94381791197362e-01,-4.70488447496920e-01
5.06488984380049e+08	2.17110279496381e-01,-5.78252862036368e-01	2.21943930994152e-02,3.98613553865236e-02	-1.18154461772741e+01,1.14012971816213e+01	5.94272836177617e-01,-4.70512345444681e-01
5.06605621206364e+08	2.16966733733267e-01,-5.78273612443086e-01	2.22009258202903e-02,3.98657779454756e-02	-1.18128680606526e+01,1.14019162624748e+01	5.94163871952951e-01,-4.70536214664391e-01
5.06722284892394e+08	2.16823172102130e-01,-5.78294328443445e-01	2.22074594611768e-02,3.98701998551576e-02	-1.18102896420779e+01,1.14025348020991e+01	5.94054894453906e-01,-4.70560061648554e-01
5.06838975444322e+08	2.16679592858608e-01,-5.78315011606229e-01	2.22139940583157e-02,3.98746210604384e-02	-1.18077108993173e+01,1.14031528080031e+01	5.93945903660626e-01,-4.70583885092624e-01
5.06955692868337e+08	2.16536000401719e-01,-5.78335658497697e-01	2.22205294922374e-02,3.98790417248438e-02	-1.18051319005152e+01,1.14037702537689e+01	5.93836900502846e-01,-4.70607686822370e-01
5.07072437170627e+08	2.16392388891550e-01,-5.78356274020624e-01	2.22270659029796e-02,3.98834616474500e-02	-1.18025525631873e+01,1.14043871695159e+01	5.93727884327786e-01,-4.70631463446678e-01
5.07189208357380e+08	2.16248764773753e-01,-5.78376853076742e-01	2.22336031192112e-02,3.98878810647368e-02	-1.17999729855845e+01,1.14050035175668e+01	5.93618856380618e-01,-4.70655217835983e-01
5.07306006434789e+08	2.16105122208990e-01,-5.78397400566248e-01	2.22401412809454e-02,3.98922997757304e-02	-1.17973930852337e+01,1.14056193280116e+01	5.93509816009456e-01,-4.70678946599201e-01
5.07422831409045e+08	2.15961465594430e-01,-5.78417913059579e-01	2.22466802687762e-02,3.98967179440510e-02	-1.17948129302473e+01,1.14062345745076e+01	5.93400764142302e-01,-4.70702651564287e-01
5.07539683286343e+08	2.15817792869994e-01,-5.78438391080258e-01	2.22532201962166e-02,3.99011354356289e-02	-1.17922324638636e+01,1.14068492840966e+01	5.93291698576749e-01,-4.70726334799763e-01
5.07656562072878e+08	2.15674102607141e-01,-5.78458837238037e-01	2.22597610222145e-02,3.99055522741718e-02	-1.17896516983806e+01,1.14074634447237e+01	5.93182621476442e-01,-4.70749991629458e-01
5.07773467774847e+08	2.15530398886424e-01,-5.78479247063215e-01	2.22663027046929e-02,3.99099685444410e-02	-1.17870706673590e+01,1.14080770496302e+01	5.93073531584927e-01,-4.70773627253915e-01
5.07890400398447e+08	2.15386677917197e-01,-5.78499623785090e-01	2.22728453317362e-02,3.99143841182465e-02	-1.17844893184672e+01,1.14086901175453e+01	5.92964428568132e-01,-4.70797239324483e-01
5.08007359949880e+08	2.15242939687785e-01,-5.78519966260125e-01	2.22793889649625e-02,3.99187989343112e-02	-1.17819076250600e+01,1.14093026641710e+01	5.92855310539045e-01,-4.70820830950448e-01
5.08124346435345e+08	2.15099189535941e-01,-5.78540274201290e-01	2.22859332533052e-02,3.99232133934014e-02	-1.17793257587544e+01,1.14099146048141e+01	5.92746184970979e-01,-4.70844393853899e-01
5.08241359861045e+08	2.14955420996220e-01,-5.78560550407350e-01	2.22924784911753e-02,3.99276271362846e-02	-1.17767435680909e+01,1.14105260083953e+01	5.92637046850363e-01,-4.70867931381307e-01
5.08358400233185e+08	2.14811638148492e-01,-5.78580790413090e-01	2.22990246365635e-02,3.99320402477270e-02	-1.17741610866042e+01,1.14111368681843e+01	5.92527894918820e-01,-4.70891448731632e-01
5.08475467557969e+08	2.14667839249151e-01,-5.78600995782263e-01	2.23055717256928e-02,3.99364526724311e-02	-1.17715782920691e+01,1.14117471916280e+01	5.92418729157714e-01,-4.70914944600106e-01
5.08592561841604e+08	2.14524020823233e-01,-5.78621170781586e-01	2.23121197693122e-02,3.99408643610729e-02	-1.17689951667002e+01,1.14123569778925e+01	5.92309551418138e-01,-4.70938413269480e-01
5.08709683090299e+08	2.14380193711988e-01,-5.78641308062904e-01	2.23186684155398e-02,3.99452757758225e-02	-1.17664119032554e+01,1.14129661478371e+01	5.92200365744822e-01,-4.70961856342435e-01
5.08826831310264e+08	2.14236349095294e-01,-5.78661411031069e-01	2.23252180877831e-02,3.99496864049718e-02	-1.17638282857428e+01,1.14135748008326e+01	5.92091164631559e-01,-4.70985279479201e-01
5.08944006507708e+08	2.14092485856771e-01,-5.78681483337088e-01	2.23317686677091e-02,3.99540963513319e-02	-1.17612443609656e+01,1.14141829054071e+01	5.91981952425648e-01,-4.71008674642857e-01
5.09061208688845e+08	2.13948607761794e-01,-5.78701519475995e-01	2.23383201906601e-02,3.99585056205967e-02	-1.17586601279137e+01,1.14147904743177e+01	5.91872725683779e-01,-4.71032050397395e-01
5.09178437859889e+08	2.13804715424458e-01,-5.78721520397880e-01	2.23448725638111e-02,3.99629143096395e-02	-1.17560756289341e+01,1.14153974844070e+01	5.91763486882670e-01,-4.71055403119190e-01
5.09295694027055e+08	2.13660805369238e-01,-5.78741490365889e-01	2.23514257978816e-02,3.99673223691450e-02	-1.17534908462443e+01,1.14160039348507e+01	5.91654237874458e-01,-4.71078727094841e-01
5.09412977196560e+08	2.13516881361075e-01,-5.78761423878528e-01	2.23579799282618e-02,3.99717298048071e-02	-1.17509057788135e+01,1.14166098384252e+01	5.91544975214176e-01,-4.71102030886890e-01
5.09530287374622e+08	2.13372939613055e-01,-5.78781324150789e-01	2.23645350428997e-02,3.99761364880623e-02	-1.17483203743693e+01,1.14172152136623e+01	5.91435698572179e-01,-4.71125312144042e-01
5.09647624567461e+08	2.13228984825866e-01,-5.78801188822699e-01	2.23710909454872e-02,3.99805426621614e-02	-1.17457347353586e+01,1.14178200151898e+01	5.91326411049168e-01,-4.71148569338999e-01
5.09764988781298e+08	2.13085013212348e-01,-5.78821021108164e-01	2.23776477239516e-02,3.99849481985506e-02	-1.17431488095061e+01,1.14184242615465e+01	5.91217112315403e-01,-4.71171800121892e-01
5.09882380022355e+08	2.12941024761630e-01,-5.78840819863628e-01	2.23842054399844e-02,3.99893530357517e-02	-1.17405625701623e+01,1.14190279683729e+01	5.91107800484069e-01,-4.71195007597696e-01
5.09999798296857e+08	2.12797021818056e-01,-5.78860583339461e-01	2.23907640262875e-02,3.99937572646785e-02	-1.17379760552051e+01,1.14196311208306e+01	5.90998476160320e-01,-4.71218192555461e-01
5.10117243611028e+08	2.12653004681715e-01,-5.78880311440943e-01	2.23973234673337e-02,3.99981609031010e-02	-1.17353892724617e+01,1.14202337152185e+01	5.90889139638256e-01,-4.71241354738553e-01
5.10234715971096e+08	2.12508969566874e-01,-5.78900007377078e-01	2.24038838510105e-02,4.00025638223301e-02	-1.17328021696816e+01,1.14208357700014e+01	5.90779790590045e-01,-4.71264491795752e-01
5.10352215383289e+08	2.12364920859601e-01,-5.78919667748225e-01	2.24104450583599e-02,4.00069661865684e-02	-1.17302148147682e+01,1.14214372593026e+01	5.90670429931610e-01,-4.71287605565321e-01
5.10469741853836e+08	2.12220856816896e-01,-5.78939294111303e-01	2.24170071255595e-02,4.00113679403450e-02	-1.17276271855030e+01,1.14220381905069e+01	5.90561057645642e-01,-4.71310694743742e-01
5.10587295388969e+08	2.12076775696256e-01,-5.78958888021398e-01	2.24235700887684e-02,4.00157690281639e-02	-1.17250392596806e+01,1.14226385709775e+01	5.90451673715831e-01,-4.71333758027469e-01
5.10704875994921e+08	2.11932679220183e-01,-5.78978445636963e-01	2.24301340352336e-02,4.00201693823196e-02	-1.17224510061931e+01,1.14232384245455e+01	5.90342274382786e-01,-4.71356802922984e-01
5.10822483677925e+08	2.11788568618067e-01,-5.78997970006984e-01	2.24366987177415e-02,4.00245692586256e-02	-1.17198625362875e+01,1.14238376896282e+01	5.90232866484979e-01,-4.71379819102091e-01
5.10940118444216e+08	2.11644441218279e-01,-5.79017459541960e-01	2.24432644041484e-02,4.00289683634529e-02	-1.17172737243306e+01,1.14244364314477e+01	5.90123443461367e-01,-4.71402815331925e-01
5.11057780300032e+08	2.11500297939754e-01,-5.79036916242471e-01	2.24498309244778e-02,4.00333668732873e-02	-1.17146846470883e+01,1.14250346077371e+01	5.90014009968943e-01,-4.71425784643641e-01
5.11175469251611e+08	2.11356138463691e-01,-5.79056337916812e-01	2.24563984176611e-02,4.00377646470465e-02	-1.17120952434265e+01,1.14256322533362e+01	5.89904561937651e-01,-4.71448733492561e-01
5.11293185305193e+08	2.11211965748965e-01,-5.79075724919990e-01	2.24629666621002e-02,4.00421619346442e-02	-1.17095056201058e+01,1.14262293150232e+01	5.89795104333167e-01,-4.71471655961492e-01
5.11410928467018e+08	2.11067777744008e-01,-5.79095077757105e-01	2.24695357711792e-02,4.00465586011036e-02	-1.17069157204463e+01,1.14268258194077e+01	5.89685634957713e-01,-4.71494554102356e-01
5.11528698743330e+08	2.10923572398463e-01,-5.79114396930921e-01	2.24761058582634e-02,4.00509545113533e-02	-1.17043254877862e+01,1.14274217930451e+01	5.89576151614603e-01,-4.71517429964997e-01
5.11646496140373e+08	2.10779354401984e-01,-5.79133680104079e-01	2.24826767273657e-02,4.00553499092962e-02	-1.17017350243931e+01,1.14280171910233e+01	5.89466657394950e-01,-4.71540282037927e-01
5.11764320664391e+08	2.10635119971352e-01,-5.79152930474128e-01	2.24892484662702e-02,4.00597446659798e-02	-1.16991442780637e+01,1.14286120316682e+01	5.89357151974850e-01,-4.71563107969310e-01
5.11882172321633e+08	2.10490869097624e-01,-5.79172146897056e-01	2.24958211367027e-02,4.00641387196333e-02	-1.16965532221391e+01,1.14292063305164e+01	5.89247633466138e-01,-4.71585910856865e-01
5.12000051118346e+08	2.10346604120193e-01,-5.79191327634520e-01	2.25023946715680e-02,4.00685321613691e-02	-1.16939618944070e+01,1.14298000729172e+01	5.89138102469424e-01,-4.71608691494520e-01
5.12117957060780e+08	2.10202323297439e-01,-5.79210474236701e-01	2.25089691070064e-02,4.00729249355216e-02	-1.16913702726695e+01,1.14303932661706e+01	5.89028558969453e-01,-4.71631448578316e-01
5.12235890155186e+08	2.10058027235229e-01,-5.79229587659174e-01	2.25155443503310e-02,4.00773171393871e-02	-1.16887783991730e+01,1.14309858874255e+01	5.88919005440067e-01,-4.71654178503456e-01
5.12353850407818e+08	2.09913715617486e-01,-5.79248665709088e-01	2.25221205405017e-02,4.00817086315841e-02	-1.16861862127985e+01,1.14315779713908e+01	5.88809437811531e-01,-4.71676887716517e-01
5.12471837824929e+08	2.09769389049872e-01,-5.79267709342494e-01	2.25286975848428e-02,4.00860995094012e-02	-1.16835937557831e+01,1.14321694952225e+01	5.88699858556994e-01,-4.71699572612909e-01
5.12589852412774e+08	2.09625045790917e-01,-5.79286720107345e-01	2.25352755194808e-02,4.00904897171416e-02	-1.16810010059397e+01,1.14327604662034e+01	5.88590267662478e-01,-4.71722231889251e-01
5.12707894177612e+08	2.09480688178226e-01,-5.79305696268880e-01	2.25418542773762e-02,4.00948793459941e-02	-1.16784080010182e+01,1.14333508697542e+01	5.88480665726326e-01,-4.71744866341954e-01
5.12825963125699e+08	2.09336313857866e-01,-5.79324637274074e-01	2.25484340490726e-02,4.00992681809644e-02	-1.16758146499423e+01,1.14339407514370e+01	5.88371048372961e-01,-4.71767481363223e-01
5.12944059263297e+08	2.09191928124537e-01,-5.79343542901181e-01	2.25550144843813e-02,4.01036566256720e-02	-1.16732211237463e+01,1.14345300283636e+01	5.88261423048551e-01,-4.71790068756696e-01
5.13062182596666e+08	2.09047526585213e-01,-5.79362414237000e-01	2.25615958254102e-02,4.01080443916249e-02	-1.16706273013852e+01,1.14351187570049e+01	5.88151785071188e-01,-4.71812632864357e-01
5.13180333132070e+08	2.08903105155452e-01,-5.79381253413887e-01	2.25681782369884e-02,4.01124312697969e-02	-1.16680330962847e+01,1.14357069745888e+01	5.88042131940791e-01,-4.71835174676788e-01
5.13298510875772e+08	2.08758670860140e-01,-5.79400057523968e-01	2.25747613946475e-02,4.01168176578141e-02	-1.16654386749690e+01,1.14362946065641e+01	5.87932469227826e-01,-4.71857690400188e-01
5.13416715834038e+08	2.08614226033753e-01,-5.79418824839516e-01	2.25813452314634e-02,4.01212036470422e-02	-1.16628440751401e+01,1.14368816384787e+01	5.87822797528351e-01,-4.71880180834696e-01
5.13534948013136e+08	2.08469759867330e-01,-5.79437560301553e-01	2.25879302212398e-02,4.01255886483359e-02	-1.16602490515117e+01,1.14374681783459e+01	5.87713109066165e-01,-4.71902650507379e-01
5.13653207419334e+08	2.08325281725989e-01,-5.79456260422011e-01	2.25945159108617e-02,4.01299732127835e-02	-1.16576538349417e+01,1.14380541217783e+01	5.87603411894664e-01,-4.71925093335252e-01
5.13771494058901e+08	2.08180786916597e-01,-5.79474925228283e-01	2.26011026195410e-02,4.01343569717533e-02	-1.16550582700069e+01,1.14386395441175e+01	5.87493699153893e-01,-4.71947516995378e-01
5.13889807938109e+08	2.08036278991975e-01,-5.79493557197814e-01	2.26076899715913e-02,4.01387403356397e-02	-1.16524625321239e+01,1.14392243546127e+01	5.87383980161797e-01,-4.71969908913788e-01
5.14008149063232e+08	2.07891754689654e-01,-5.79512152616734e-01	2.26142783890624e-02,4.01431228496772e-02	-1.16498664269687e+01,1.14398086558090e+01	5.87274244002340e-01,-4.71992284501136e-01
5.14126517440543e+08	2.07747215523384e-01,-5.79530715598888e-01	2.26208675477964e-02,4.01475048507744e-02	-1.16472701000064e+01,1.14403923678575e+01	5.87164499688930e-01,-4.72014630135611e-01
5.14244913076318e+08	2.07602660877999e-01,-5.79549242897132e-01	2.26274576639537e-02,4.01518861172177e-02	-1.16446734557133e+01,1.14409755442865e+01	5.87054740971030e-01,-4.72036955590834e-01
5.14363335976835e+08	2.07458091354275e-01,-5.79567735471285e-01	2.26340486449534e-02,4.01562667465399e-02	-1.16420765362657e+01,1.14415581624319e+01	5.86944970320031e-01,-4.72059257272795e-01
5.14481786148372e+08	2.07313507248671e-01,-5.79586193229887e-01	2.26406404754117e-02,4.01606467564760e-02	-1.16394793494104e+01,1.14421402186893e+01	5.86835188026711e-01,-4.72081534929913e-01
5.14600263597209e+08	2.07168907124172e-01,-5.79604618765830e-01	2.26472331142193e-02,4.01650261709895e-02	-1.16368819073883e+01,1.14427217012434e+01	5.86725396258573e-01,-4.72103783919095e-01
5.14718768329628e+08	2.07024292404263e-01,-5.79623007198650e-01	2.26538267260870e-02,4.01694048418121e-02	-1.16342841446130e+01,1.14433026527264e+01	5.86615589069004e-01,-4.72126015059777e-01
5.14837300351911e+08	2.06879662257898e-01,-5.79641363225472e-01	2.26604211155446e-02,4.01737829526790e-02	-1.16316861421570e+01,1.14438830233089e+01	5.86505772986057e-01,-4.72148217030640e-01
5.14955859670344e+08	2.06735016073187e-01,-5.79659683596882e-01	2.26670164987552e-02,4.01781602815711e-02	-1.16290878045238e+01,1.14444628663713e+01	5.86395941760143e-01,-4.72170399596201e-01
5.15074446291212e+08	2.06590357089618e-01,-5.79677969749643e-01	2.26736125773726e-02,4.01825371596808e-02	-1.16264892725856e+01,1.14450421105902e+01	5.86286102523674e-01,-4.72192553543727e-01
5.15193060220803e+08	2.06445680322545e-01,-5.79696220640993e-01	2.26802097476084e-02,4.01869131375543e-02	-1.16238903566367e+01,1.14456208498071e+01	5.86176246242798e-01,-4.72214689866658e-01
5.15311701465404e+08	2.06300991347435e-01,-5.79714437132914e-01	2.26868075825553e-02,4.01912887001580e-02	-1.16212912618413e+01,1.14461989830382e+01	5.86066382531726e-01,-4.72236797071775e-01
5.15430370031307e+08	2.06156285784928e-01,-5.79732620286504e-01	2.26934063240434e-02,4.01956635578642e-02	-1.16186918673154e+01,1.14467765661403e+01	5.85956506716551e-01,-4.72258879476755e-01
5.15549065924804e+08	2.06011568000874e-01,-5.79750766754976e-01	2.27000058539031e-02,4.02000378758707e-02	-1.16160922405729e+01,1.14473535740542e+01	5.85846619690358e-01,-4.72280938937405e-01
5.15667789152186e+08	2.05866836556332e-01,-5.79768879130349e-01	2.27066061310508e-02,4.02044116782240e-02	-1.16134923938388e+01,1.14479299950283e+01	5.85736723621035e-01,-4.72302970816352e-01
5.15786539719750e+08	2.05722084438226e-01,-5.79786957987824e-01	2.27132076029782e-02,4.02087844412121e-02	-1.16108921075877e+01,1.14485059333540e+01	5.85626809176147e-01,-4.72324985040702e-01
